trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,4,0.0,left,185,371,11.9656,23.9960,12.0303,1,1,
1,4,0.0,left,436,613,28.2001,39.6483,11.4482,1,1,
2,4,0.0,left,652,806,42.1708,52.1314,9.9606,1,1,
3,4,0.0,left,853,1040,55.1713,67.2663,12.0950,1,1,
4,4,0.0,left,1129,1320,73.0227,85.3765,12.3537,1,1,
5,4,0.0,left,1400,1601,90.5508,103.5513,13.0005,1,1,
6,4,0.0,left,1631,1853,105.4917,119.8504,14.3588,1,1,
7,4,0.0,left,1913,2139,123.7312,138.3487,14.6175,1,1,
8,4,0.0,left,2225,2471,143.9111,159.8221,15.9111,1,1,
9,4,0.0,left,2553,2746,165.1258,177.6089,12.4831,1,1,
10,4,0.0,left,2828,3127,182.9126,202.2516,19.3391,1,1,
11,4,0.0,left,3189,3425,206.2617,221.5260,15.2643,1,1,
12,4,0.0,left,3479,3706,225.0187,239.7009,14.6822,1,1,
13,4,0.0,left,3757,3973,242.9995,256.9702,13.9707,1,1,
14,4,0.0,left,3996,4309,258.4578,278.7024,20.2446,1,1,
15,4,0.0,left,4379,4645,283.2299,300.4346,17.2046,1,1,
16,4,0.0,left,4701,4967,304.0566,321.2612,17.2046,1,1,
17,4,1.0,left,5910,6151,382.2537,397.8413,15.5877,0,1,
18,4,1.0,left,6165,6493,398.7468,419.9616,21.2148,0,1,
19,4,1.0,left,6573,6824,425.1359,441.3704,16.2345,1,1,
20,4,1.0,left,6880,7076,444.9924,457.6695,12.6771,1,1,
21,4,1.0,left,7115,7345,460.1920,475.0682,14.8762,1,1,
22,4,1.0,left,7389,7627,477.9141,493.3077,15.3936,1,1,
23,4,1.0,left,7664,7897,495.7009,510.7711,15.0702,1,1,
24,4,1.0,left,7919,8162,512.1940,527.9111,15.7170,1,1,
25,4,1.0,left,8183,8419,529.2693,544.5336,15.2643,1,1,
26,4,1.0,left,8487,8736,548.9318,565.0369,16.1051,1,1,
27,4,1.0,left,8786,9025,568.2708,583.7292,15.4583,1,1,
28,4,1.0,left,9058,9321,585.8636,602.8742,17.0106,1,1,
29,4,1.0,left,9336,9543,603.8444,617.2329,13.3886,1,1,
30,4,1.0,left,9580,9818,619.6261,635.0197,15.3936,1,1,
31,4,1.0,left,9851,10075,637.1541,651.6422,14.4881,1,1,
32,4,1.0,left,10098,10344,653.1299,669.0409,15.9111,1,1,
33,4,1.0,left,10397,10599,672.4689,685.5341,13.0652,1,1,
34,4,2.0,left,11547,11717,746.8499,757.8454,10.9955,1,1,
35,4,2.0,left,11769,12047,761.2087,779.1895,17.9808,0,1,
36,4,2.0,left,12104,12318,782.8762,796.7175,13.8413,1,1,
37,4,2.0,left,12366,12611,799.8221,815.6685,15.8464,1,1,
38,4,2.0,left,12651,12922,818.2557,835.7837,17.5280,1,1,
39,4,2.0,left,12989,13195,840.1172,853.4411,13.3239,1,1,
40,4,2.0,left,13220,13386,855.0581,865.7948,10.7367,1,1,
41,4,2.0,left,13401,13610,866.7650,880.2830,13.5179,1,1,
42,4,2.0,left,13690,13864,885.4573,896.7115,11.2542,1,1,
43,4,2.0,left,13934,14154,901.2390,915.4684,14.2294,1,1,
44,4,2.0,left,14168,14442,916.3739,934.0960,17.7221,0,1,
45,4,2.0,left,14540,14792,940.4346,956.7337,16.2991,1,1,
46,4,2.0,left,14878,15093,962.2961,976.2021,13.9060,1,1,
47,4,2.0,left,15127,15377,978.4012,994.5710,16.1698,1,1,
48,4,2.0,left,15401,15649,996.1233,1012.1637,16.0404,1,1,
49,4,2.0,left,15718,15961,1016.6266,1032.3436,15.7170,1,1,
50,4,2.0,left,16017,16265,1035.9656,1052.0061,16.0404,1,1,
51,4,3.0,left,17207,17412,1112.9338,1126.1930,13.2592,1,1,
52,4,3.0,left,17432,17670,1127.4866,1142.8802,15.3936,0,1,
53,4,3.0,left,17721,17930,1146.1789,1159.6968,13.5179,1,1,
54,4,3.0,left,17981,18295,1162.9955,1183.3047,20.3092,1,1,
55,4,3.0,left,18317,18530,1184.7276,1198.5043,13.7767,1,1,
56,4,3.0,left,18550,19751,1199.7979,1277.4775,77.6796,1,1,
57,4,3.0,left,19794,20037,1280.2587,1295.9757,15.7170,1,1,
58,4,3.0,left,20068,20366,1297.9808,1317.2552,19.2744,1,1,
59,4,3.0,left,20417,20645,1320.5538,1335.3007,14.7468,1,1,
60,4,3.0,left,20664,20889,1336.5296,1351.0824,14.5528,0,1,
61,4,3.0,left,20915,21138,1352.7640,1367.1875,14.4234,1,1,
62,4,3.0,left,21172,21393,1369.3866,1383.6806,14.2941,1,1,
63,4,3.0,left,21407,21589,1384.5862,1396.3578,11.7716,1,1,
64,4,3.0,left,21626,21834,1398.7509,1412.2041,13.4533,1,1,
65,4,3.0,left,21922,22194,1417.8959,1435.4886,17.5927,1,1,
66,4,4.0,left,23136,23292,1496.4164,1506.5063,10.0899,1,1,
67,4,4.0,left,23357,23574,1510.7105,1524.7458,14.0354,1,1,
68,4,4.0,left,23619,23841,1527.6564,1542.0152,14.3588,1,1,
69,4,4.0,left,23864,24101,1543.5028,1558.8317,15.3290,1,1,
70,4,4.0,left,24144,24342,1561.6129,1574.4194,12.8065,1,1,
71,4,4.0,left,24406,24726,1578.5589,1599.2562,20.6973,1,1,
72,4,4.0,left,24810,25037,1604.6892,1619.3714,14.6822,1,1,
73,4,4.0,left,25105,25325,1623.7696,1637.9990,14.2294,1,1,
74,4,4.0,left,25368,25654,1640.7802,1659.2784,18.4982,1,1,
75,4,4.0,left,25696,25997,1661.9949,1681.4634,19.4684,1,1,
76,4,4.0,left,26042,26265,1684.3739,1698.7974,14.4234,1,1,
77,4,4.0,left,26291,26511,1700.4790,1714.7084,14.2294,1,1,
78,4,4.0,left,26581,26814,1719.2360,1734.3062,15.0702,1,1,
79,4,4.0,left,26847,27114,1736.4406,1753.7100,17.2693,1,1,
80,4,4.0,left,27143,27347,1755.5856,1768.7802,13.1945,1,1,
81,4,4.0,left,27434,27680,1774.4073,1790.3183,15.9111,1,1,
82,4,4.0,left,27731,27948,1793.6170,1807.6523,14.0354,1,1,
83,4,5.0,left,28889,29080,1868.5154,1880.8691,12.3537,0,1,
84,4,5.0,left,29097,29251,1881.9687,1891.9293,9.9606,1,1,
85,4,5.0,left,29278,29513,1893.6756,1908.8752,15.1996,0,1,
86,4,5.0,left,29562,29832,1912.0445,1929.5078,17.4634,1,1,
87,4,5.0,left,29903,30149,1934.1001,1950.0111,15.9111,1,1,
88,4,5.0,left,30164,30362,1950.9813,1963.7878,12.8065,1,1,
89,4,5.0,right,30419,30652,1967.4745,1982.5447,15.0702,1,1,
