trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,2,0.0,left,185,391,11.9656,25.2895,13.3239,0,1,
1,2,0.0,left,461,650,29.8171,42.0414,12.2244,1,1,
2,2,0.0,left,666,781,43.0763,50.5144,7.4381,1,1,
3,2,0.0,left,862,1040,55.7534,67.2663,11.5129,1,1,
4,2,0.0,left,1070,1229,69.2067,79.4907,10.2840,1,1,
5,2,0.0,left,1284,1490,83.0480,96.3719,13.3239,1,1,
6,2,0.0,left,1551,1739,100.3173,112.4770,12.1597,1,1,
7,2,0.0,left,1789,2026,115.7110,131.0399,15.3290,1,1,
8,2,0.0,left,2069,2269,133.8211,146.7569,12.9358,1,1,
9,2,0.0,left,2310,2496,149.4088,161.4391,12.0303,1,1,
10,2,0.0,left,2530,2694,163.6382,174.2456,10.6074,1,1,
11,2,0.0,left,2738,2931,177.0915,189.5745,12.4831,1,1,
12,2,0.0,left,2971,3177,192.1617,205.4856,13.3239,1,1,
13,2,0.0,left,3214,3426,207.8787,221.5907,13.7120,1,1,
14,2,0.0,left,3476,3683,224.8247,238.2132,13.3886,1,1,
15,2,0.0,left,3722,4025,240.7357,260.3335,19.5978,1,1,
16,2,0.0,left,4094,4308,264.7964,278.6377,13.8413,1,1,
17,2,0.0,left,4361,4566,282.0657,295.3249,13.2592,1,1,
18,2,0.0,left,4602,4816,297.6534,311.4947,13.8413,1,1,
19,2,1.0,left,5751,5915,371.9697,382.5771,10.6074,1,1,
20,2,1.0,left,5926,6088,383.2885,393.7665,10.4780,1,1,
21,2,1.0,left,6123,6358,396.0303,411.2299,15.1996,0,1,
22,2,1.0,left,6440,6584,416.5336,425.8474,9.3138,1,1,
23,2,1.0,left,6609,6789,427.4644,439.1066,11.6422,1,1,
24,2,1.0,left,6819,6986,441.0470,451.8484,10.8014,1,1,
25,2,1.0,left,7051,7262,456.0526,469.6998,13.6473,1,1,
26,2,1.0,left,7349,7588,475.3269,490.7852,15.4583,1,1,
27,2,1.0,left,7622,7853,492.9843,507.9252,14.9409,1,1,
28,2,1.0,left,7910,8163,511.6119,527.9757,16.3638,1,1,
29,2,1.0,left,8194,8448,529.9808,546.4093,16.4285,1,1,
30,2,1.0,left,8533,8847,551.9070,572.2163,20.3092,1,1,
31,2,1.0,left,8918,9159,576.8085,592.3962,15.5877,1,1,
32,2,1.0,left,9237,9511,597.4411,615.1632,17.7221,1,1,
33,2,1.0,left,9521,9715,615.8100,628.3578,12.5478,1,1,
34,2,1.0,left,9793,10063,633.4027,650.8661,17.4634,1,1,
35,2,1.0,left,10114,10444,654.1647,675.5088,21.3441,1,1,
36,2,2.0,left,11386,11627,736.4366,752.0243,15.5877,1,1,
37,2,2.0,left,11645,11888,753.1885,768.9055,15.7170,1,1,
38,2,2.0,left,11942,12115,772.3982,783.5877,11.1895,1,1,
39,2,2.0,left,12198,12475,788.9560,806.8722,17.9161,1,1,
40,2,2.0,left,12502,12664,808.6185,819.0965,10.4780,1,1,
41,2,2.0,left,12712,12945,822.2011,837.2713,15.0702,1,1,
42,2,2.0,left,12977,13131,839.3411,849.3017,9.9606,1,1,
43,2,2.0,left,13199,13422,853.6998,868.1233,14.4234,1,1,
44,2,2.0,left,13499,13729,873.1036,887.9798,14.8762,1,1,
45,2,2.0,left,13793,14077,892.1193,910.4881,18.3689,0,1,
46,2,2.0,left,14153,14600,915.4037,944.3153,28.9116,1,1,
47,2,2.0,left,14669,14875,948.7782,962.1021,13.3239,1,1,
48,2,2.0,left,14904,15245,963.9778,986.0334,22.0556,1,1,
49,2,2.0,left,15292,15468,989.0733,1000.4568,11.3835,1,1,
50,2,2.0,left,15558,15768,1006.2779,1019.8605,13.5826,1,1,
51,2,2.0,left,15796,16064,1021.6716,1039.0056,17.3340,1,1,
52,2,3.0,left,17001,17187,1099.6099,1111.6402,12.0303,1,1,
53,2,3.0,left,17202,17399,1112.6104,1125.3522,12.7418,1,1,
54,2,3.0,left,17421,17726,1126.7751,1146.5023,19.7271,1,1,
55,2,3.0,left,17797,18058,1151.0945,1167.9757,16.8813,1,1,
56,2,3.0,left,18130,18381,1172.6326,1188.8671,16.2345,1,1,
57,2,3.0,left,18441,18741,1192.7479,1212.1516,19.4037,1,1,
58,2,3.0,left,18795,19122,1215.6443,1236.7943,21.1501,0,1,
59,2,3.0,left,19197,19436,1241.6453,1257.1036,15.4583,0,1,
60,2,3.0,left,19485,19779,1260.2729,1279.2885,19.0157,1,1,
61,2,3.0,left,19821,20002,1282.0051,1293.7120,11.7069,1,1,
62,2,3.0,left,20071,20249,1298.1748,1309.6877,11.5129,1,1,
63,2,3.0,left,20323,20493,1314.4740,1325.4694,10.9955,1,1,
64,2,3.0,left,20531,20691,1327.9272,1338.2759,10.3487,1,1,
65,2,3.0,left,20739,20968,1341.3805,1356.1920,14.8115,1,1,
66,2,3.0,left,21016,21327,1359.2966,1379.4118,20.1152,1,1,
67,2,3.0,left,21383,21623,1383.0339,1398.5568,15.5230,1,1,
68,2,3.0,left,21649,21970,1400.2385,1421.0005,20.7620,1,1,
69,2,4.0,left,22915,23084,1482.1223,1493.0531,10.9308,1,1,
70,2,4.0,left,23169,23391,1498.5508,1512.9096,14.3588,1,1,
71,2,4.0,left,23418,23644,1514.6559,1529.2734,14.6175,1,1,
72,2,4.0,left,23712,24054,1533.6716,1555.7918,22.1203,0,1,
73,2,4.0,left,24132,24399,1560.8368,1578.1061,17.2693,1,1,
74,2,4.0,left,24426,24806,1579.8525,1604.4305,24.5781,1,1,
75,2,4.0,left,24845,25117,1606.9530,1624.5457,17.5927,1,1,
76,2,4.0,left,25125,25447,1625.0632,1645.8898,20.8267,1,1,
77,2,4.0,left,25461,25806,1646.7954,1669.1097,22.3143,0,1,
78,2,4.0,left,25869,26286,1673.1844,1700.1556,26.9712,1,1,
79,2,4.0,left,26373,26589,1705.7827,1719.7534,13.9707,1,1,
80,2,4.0,left,26651,26884,1723.7635,1738.8338,15.0702,1,1,
81,2,4.0,left,26907,27151,1740.3214,1756.1031,15.7817,0,1,
82,2,4.0,left,27193,27466,1758.8196,1776.4770,17.6574,1,1,
83,2,4.0,left,27520,27763,1779.9697,1795.6867,15.7170,1,1,
84,2,5.0,left,28710,28911,1856.9378,1869.9384,13.0005,1,1,
85,2,5.0,left,28940,29164,1871.8140,1886.3022,14.4881,0,1,
86,2,5.0,right,29208,29516,1889.1481,1909.0692,19.9212,1,1,
87,2,5.0,right,29541,29906,1910.6862,1934.2941,23.6079,1,1,
88,2,5.0,right,29914,30200,1934.8115,1953.3098,18.4982,1,1,
89,2,5.0,left,30224,30615,1954.8621,1980.1516,25.2895,1,1,
90,2,5.0,right,30627,30945,1980.9277,2001.4957,20.5680,1,1,
91,2,5.0,left,30957,31232,2002.2719,2020.0586,17.7868,1,1,
92,2,5.0,left,31247,32074,2021.0288,2074.5184,53.4896,1,1,
93,2,5.0,left,32140,32423,2078.7873,2097.0915,18.3042,1,1,
94,2,5.0,left,32458,32735,2099.3552,2117.2713,17.9161,1,1,
95,2,5.0,right,32757,33056,2118.6943,2138.0334,19.3391,1,1,
96,2,5.0,right,33094,33430,2140.4912,2162.2233,21.7322,1,1,
97,2,5.0,left,33497,33796,2166.5568,2185.8959,19.3391,1,1,
98,2,5.0,right,33821,34489,2187.5129,2230.7185,43.2057,1,1,
99,2,5.0,left,34546,35089,2234.4053,2269.5260,35.1208,1,1,
100,2,5.0,left,35121,35698,2271.5958,2308.9156,37.3199,1,1,
101,2,5.0,left,35742,35910,2311.7615,2322.6276,10.8661,1,1,
102,2,5.0,left,35952,36122,2325.3441,2336.3396,10.9955,1,1,
103,2,5.0,right,36144,36523,2337.7625,2362.2759,24.5134,1,1,
104,2,5.0,left,36551,36720,2364.0869,2375.0177,10.9308,1,1,
105,2,5.0,left,36763,37049,2377.7989,2396.2971,18.4982,0,1,
106,2,5.0,right,37078,37325,2398.1728,2414.1486,15.9757,1,1,
107,2,5.0,left,37342,37595,2415.2481,2431.6119,16.3638,1,1,
108,2,5.0,left,37612,38179,2432.7115,2469.3845,36.6731,1,1,
