trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,4,0.0,left,162,359,10.4780,23.2198,12.7418,0,1,
1,4,0.0,left,391,634,25.2895,41.0066,15.7170,1,1,
2,4,0.0,left,659,854,42.6235,55.2360,12.6124,0,1,
3,4,0.0,left,919,1087,59.4401,70.3062,10.8661,1,1,
4,4,0.0,left,1139,1294,73.6695,83.6948,10.0253,0,1,
5,4,0.0,left,1320,1488,85.3765,96.2425,10.8661,1,1,
6,4,0.0,left,1524,1704,98.5710,110.2132,11.6422,1,1,
7,4,0.0,left,1755,1923,113.5119,124.3780,10.8661,1,1,
8,4,0.0,left,1946,2090,125.8656,135.1794,9.3138,1,1,
9,4,0.0,left,2149,2315,138.9955,149.7322,10.7367,1,1,
10,4,0.0,left,2389,2553,154.5184,165.1258,10.6074,1,1,
11,4,0.0,left,2597,2773,167.9717,179.3552,11.3835,1,1,
12,4,0.0,left,2832,3025,183.1713,195.6544,12.4831,1,1,
13,4,0.0,left,3073,3253,198.7590,210.4012,11.6422,1,1,
14,4,0.0,left,3320,3477,214.7347,224.8893,10.1546,1,1,
15,4,0.0,left,3558,3746,230.1283,242.2880,12.1597,1,1,
16,4,0.0,left,3778,3948,244.3578,255.3532,10.9955,1,1,
17,4,0.0,left,3983,4167,257.6170,269.5179,11.9010,1,1,
18,4,0.0,left,4243,4452,274.4336,287.9515,13.5179,1,1,
19,4,0.0,left,4507,4658,291.5088,301.2754,9.7665,1,1,
20,4,1.0,left,5592,5754,361.6857,372.1637,10.4780,1,1,
21,4,1.0,left,5818,5985,376.3032,387.1046,10.8014,1,1,
22,4,1.0,left,6024,6170,389.6271,399.0702,9.4432,1,1,
23,4,1.0,left,6203,6350,401.2046,410.7125,9.5078,1,1,
24,4,1.0,left,6434,6575,416.1455,425.2653,9.1198,1,1,
25,4,1.0,left,6592,6739,426.3648,435.8727,9.5078,1,1,
26,4,1.0,left,6793,6933,439.3653,448.4204,9.0551,1,1,
27,4,1.0,left,6986,7119,451.8484,460.4507,8.6023,1,1,
28,4,1.0,left,7160,7358,463.1026,475.9090,12.8065,0,1,
29,4,1.0,left,7389,7524,477.9141,486.6458,8.7317,1,1,
30,4,1.0,left,7594,7732,491.1733,500.0990,8.9257,1,1,
31,4,1.0,left,7760,7899,501.9101,510.9005,8.9904,1,1,
32,4,1.0,left,7928,8069,512.7761,521.8959,9.1198,1,1,
33,4,1.0,left,8110,8473,524.5478,548.0263,23.4785,1,1,
34,4,1.0,left,8488,8649,548.9965,559.4098,10.4133,1,1,
35,4,1.0,left,8720,8989,564.0020,581.4007,17.3987,0,1,
36,4,1.0,left,9031,9265,584.1172,599.2521,15.1349,1,1,
37,4,1.0,left,9350,9562,604.7499,618.4618,13.7120,1,1,
38,4,1.0,left,9597,9784,620.7256,632.8206,12.0950,1,1,
39,4,1.0,left,9809,9951,634.4376,643.6220,9.1844,1,1,
40,4,2.0,left,10889,11100,704.2911,717.9384,13.6473,1,1,
41,4,2.0,left,11108,11304,718.4558,731.1329,12.6771,0,1,
42,4,2.0,left,11327,11489,732.6205,743.0985,10.4780,1,1,
43,4,2.0,left,11568,11731,748.2082,758.7509,10.5427,1,1,
44,4,2.0,left,11765,11912,760.9500,770.4578,9.5078,0,1,
45,4,2.0,left,11992,12125,775.6321,784.2345,8.6023,1,1,
46,4,2.0,left,12145,12290,785.5280,794.9065,9.3785,1,1,
47,4,2.0,left,12348,12482,798.6579,807.3249,8.6670,1,1,
48,4,2.0,left,12491,12622,807.9070,816.3800,8.4730,1,1,
49,4,2.0,left,12704,12836,821.6837,830.2213,8.5376,1,1,
50,4,2.0,left,12852,12993,831.2562,840.3759,9.1198,0,1,
51,4,2.0,left,13028,13167,842.6397,851.6301,8.9904,1,1,
52,4,2.0,left,13241,13412,856.4164,867.4765,11.0601,1,1,
53,4,2.0,left,13483,13644,872.0687,882.4821,10.4133,1,1,
54,4,2.0,left,13675,13815,884.4871,893.5422,9.0551,1,1,
55,4,2.0,left,13859,14017,896.3881,906.6074,10.2193,1,1,
56,4,2.0,left,14044,14207,908.3537,918.8964,10.5427,1,1,
57,4,2.0,left,14259,14444,922.2597,934.2254,11.9656,1,1,
58,4,2.0,left,14488,14671,937.0712,948.9075,11.8363,0,1,
59,4,2.0,left,14723,14885,952.2708,962.7489,10.4780,1,1,
60,4,3.0,left,15820,15997,1023.2239,1034.6721,11.4482,1,1,
61,4,3.0,left,16046,16226,1037.8413,1049.4836,11.6422,1,1,
62,4,3.0,left,16285,16421,1053.2996,1062.0960,8.7964,1,1,
63,4,3.0,left,16482,16622,1066.0414,1075.0965,9.0551,1,1,
64,4,3.0,left,16668,16831,1078.0718,1088.6145,10.5427,0,1,
65,4,3.0,left,16906,17063,1093.4654,1103.6200,10.1546,1,1,
66,4,3.0,left,17124,17253,1107.5654,1115.9090,8.3436,1,1,
67,4,3.0,left,17266,17385,1116.7499,1124.4467,7.6968,1,1,
68,4,3.0,left,17397,17555,1125.2228,1135.4421,10.2193,1,1,
69,4,3.0,left,17616,17765,1139.3876,1149.0248,9.6372,1,1,
70,4,3.0,left,17791,17938,1150.7064,1160.2142,9.5078,1,1,
71,4,3.0,left,17951,18119,1161.0551,1171.9212,10.8661,1,1,
72,4,3.0,left,18200,18362,1177.1602,1187.6382,10.4780,1,1,
73,4,3.0,left,18385,18549,1189.1258,1199.7332,10.6074,1,1,
74,4,3.0,left,18604,18824,1203.2906,1217.5200,14.2294,1,1,
75,4,3.0,left,18831,19029,1217.9727,1230.7792,12.8065,1,1,
