trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,5,0.0,left,159,277,10.2529,17.8620,7.6091,1,1,
1,5,0.0,right,353,475,22.7627,30.6297,7.8670,1,1,
2,5,0.0,right,538,686,34.6922,44.2358,9.5436,1,1,
3,5,0.0,left,736,837,47.4599,53.9728,6.5128,1,1,
4,5,0.0,left,883,994,56.9390,64.0967,7.1577,1,1,
5,5,0.0,right,1035,1145,66.7406,73.8338,7.0932,1,1,
6,5,0.0,left,1198,1294,77.2514,83.4418,6.1904,1,1,
7,5,0.0,left,1325,1473,85.4408,94.9844,9.5436,0,1,
8,5,0.0,right,1510,1605,97.3703,103.4962,6.1259,1,1,
9,5,0.0,left,1682,1780,108.4615,114.7809,6.3194,1,1,
10,5,0.0,right,1821,1936,117.4247,124.8403,7.4156,1,1,
11,5,0.0,right,1979,2090,127.6131,134.7708,7.1577,1,1,
12,5,0.0,right,2100,2208,135.4156,142.3798,6.9642,1,1,
13,5,0.0,left,2220,2320,143.1537,149.6020,6.4484,1,1,
14,5,0.0,left,2372,2480,152.9552,159.9194,6.9642,1,1,
15,5,0.0,left,2600,2717,167.6574,175.2020,7.5446,1,1,
16,5,0.0,left,2733,2831,176.2338,182.5531,6.3194,1,1,
17,5,0.0,right,2871,2988,185.1325,192.6771,7.5446,1,1,
18,5,0.0,left,3066,3170,197.7068,204.4131,6.7063,1,1,
19,5,0.0,left,3222,3386,207.7662,218.3416,10.5753,1,1,
20,5,1.0,left,4320,4456,278.5693,287.3390,8.7698,0,1,
21,5,1.0,right,4524,4629,291.7239,298.4947,6.7708,1,1,
22,5,1.0,left,4638,4764,299.0751,307.2000,8.1249,1,1,
23,5,1.0,left,4797,4928,309.3280,317.7753,8.4474,1,1,
24,5,1.0,left,4957,5076,319.6453,327.3189,7.6736,1,1,
25,5,1.0,left,5097,5221,328.6730,336.6690,7.9960,1,1,
26,5,1.0,left,5295,5397,341.4408,348.0181,6.5773,1,1,
27,5,1.0,right,5477,5608,353.1768,361.6242,8.4474,0,1,
28,5,1.0,left,5665,5767,365.2997,371.8771,6.5773,1,1,
29,5,1.0,left,5838,5954,376.4554,383.9355,7.4801,1,1,
30,5,1.0,left,5993,6131,386.4504,395.3491,8.8987,0,1,
31,5,1.0,right,6199,6311,399.7340,406.9562,7.2222,1,1,
32,5,1.0,right,6354,6473,409.7290,417.4025,7.6736,1,1,
33,5,1.0,left,6531,6628,421.1426,427.3975,6.2549,1,1,
34,5,1.0,right,6670,6791,430.1058,437.9083,7.8025,1,1,
35,5,1.0,left,6848,6976,441.5839,449.8378,8.2539,0,1,
36,5,1.0,left,7060,7167,455.2544,462.1542,6.8997,1,1,
37,5,1.0,right,7216,7331,465.3139,472.7295,7.4156,1,1,
38,5,1.0,right,7342,7467,473.4388,481.4992,8.0605,1,1,
39,5,1.0,left,7509,7622,484.2076,491.4942,7.2866,1,1,
40,5,2.0,left,8558,8789,551.8509,566.7466,14.8957,1,1,
41,5,2.0,left,8833,8944,569.5839,576.7416,7.1577,1,1,
42,5,2.0,left,8992,9133,579.8368,588.9290,9.0922,0,1,
43,5,2.0,right,9182,9295,592.0887,599.3753,7.2866,1,1,
44,5,2.0,right,9327,9446,601.4388,609.1123,7.6736,1,1,
45,5,2.0,right,9485,9606,611.6272,619.4297,7.8025,1,1,
46,5,2.0,right,9625,9734,620.6549,627.6836,7.0287,1,1,
47,5,2.0,left,9788,9923,631.1657,639.8710,8.7053,0,1,
48,5,2.0,right,9939,10059,640.9028,648.6408,7.7380,1,1,
49,5,2.0,left,10114,10220,652.1874,659.0227,6.8353,1,1,
50,5,2.0,right,10251,10377,661.0217,669.1466,8.1249,1,1,
51,5,2.0,left,10431,10531,672.6287,679.0771,6.4484,1,1,
52,5,2.0,left,10576,10705,681.9788,690.2972,8.3184,0,1,
53,5,2.0,right,10778,10899,695.0045,702.8071,7.8025,1,1,
54,5,2.0,left,10968,11083,707.2564,714.6720,7.4156,1,1,
55,5,2.0,left,11126,11242,717.4448,724.9249,7.4801,1,1,
56,5,2.0,right,11301,11433,728.7295,737.2413,8.5118,0,1,
57,5,2.0,right,11453,11576,738.5310,746.4625,7.9315,1,1,
58,5,2.0,right,11600,11728,748.0101,756.2640,8.2539,1,1,
59,5,2.0,left,11789,11908,760.1975,767.8710,7.6736,1,1,
60,5,3.0,left,12842,12955,828.0987,835.3854,7.2866,1,1,
61,5,3.0,right,12967,13090,836.1592,844.0907,7.9315,0,1,
62,5,3.0,left,13114,13239,845.6383,853.6987,8.0605,1,1,
63,5,3.0,left,13277,13391,856.1491,863.5003,7.3511,1,1,
64,5,3.0,right,13458,13582,867.8207,875.8166,7.9960,0,1,
65,5,3.0,left,13660,13781,880.8463,888.6489,7.8025,1,1,
66,5,3.0,right,13812,13935,890.6479,898.5793,7.9315,1,1,
67,5,3.0,left,14007,14130,903.2222,911.1537,7.9315,1,1,
68,5,3.0,left,14188,14418,914.8937,929.7249,14.8312,1,1,
69,5,3.0,right,14488,14628,934.2388,943.2665,9.0277,0,1,
70,5,3.0,left,14642,14765,944.1693,952.1008,7.9315,1,1,
71,5,3.0,left,14844,14961,957.1950,964.7395,7.5446,1,1,
72,5,3.0,left,14973,15077,965.5134,972.2196,6.7063,1,1,
73,5,3.0,right,15111,15235,974.4121,982.4081,7.9960,0,1,
