trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,3,0.0,right,188,418,12.0320,26.7520,14.7200,0,1,
1,3,0.0,right,435,620,27.8400,39.6800,11.8400,0,1,
2,3,0.0,right,655,846,41.9200,54.1440,12.2240,0,1,
3,3,0.0,right,879,1086,56.2560,69.5040,13.2480,0,1,
4,3,0.0,right,1124,1331,71.9360,85.1840,13.2480,0,1,
5,3,0.0,right,1373,1592,87.8720,101.8880,14.0160,0,1,
6,3,0.0,right,1638,1800,104.8320,115.2000,10.3680,0,1,
7,3,0.0,right,1855,2044,118.7200,130.8160,12.0960,0,1,
8,3,0.0,right,2059,2230,131.7760,142.7200,10.9440,0,1,
9,3,0.0,right,2280,2462,145.9200,157.5680,11.6480,0,1,
10,3,0.0,right,2528,2714,161.7920,173.6960,11.9040,0,1,
11,3,0.0,right,2756,2908,176.3840,186.1120,9.7280,0,1,
12,3,0.0,right,2924,3077,187.1360,196.9280,9.7920,0,1,
13,3,0.0,right,3168,3369,202.7520,215.6160,12.8640,0,1,
14,3,0.0,right,3458,3620,221.3120,231.6800,10.3680,0,1,
15,3,0.0,right,3643,3809,233.1520,243.7760,10.6240,0,1,
16,3,0.0,right,3837,4033,245.5680,258.1120,12.5440,0,1,
17,3,0.0,right,4076,4229,260.8640,270.6560,9.7920,0,1,
18,3,0.0,right,4308,4478,275.7120,286.5920,10.8800,0,1,
19,3,0.0,right,4508,4702,288.5120,300.9280,12.4160,0,1,
20,3,1.0,right,5646,5848,361.3440,374.2720,12.9280,0,1,
21,3,1.0,right,5885,6060,376.6400,387.8400,11.2000,0,1,
22,3,1.0,right,6073,6237,388.6720,399.1680,10.4960,0,1,
23,3,1.0,right,6293,6485,402.7520,415.0400,12.2880,0,1,
24,3,1.0,right,6534,6699,418.1760,428.7360,10.5600,0,1,
25,3,1.0,right,6752,6927,432.1280,443.3280,11.2000,0,1,
26,3,1.0,right,6987,7199,447.1680,460.7360,13.5680,0,1,
27,3,1.0,right,7233,7420,462.9120,474.8800,11.9680,0,1,
28,3,1.0,right,7443,7613,476.3520,487.2320,10.8800,0,1,
29,3,1.0,right,7661,7819,490.3040,500.4160,10.1120,0,1,
30,3,1.0,right,7834,8096,501.3760,518.1440,16.7680,0,1,
31,3,1.0,right,8126,8336,520.0640,533.5040,13.4400,0,1,
32,3,1.0,right,8369,8523,535.6160,545.4720,9.8560,0,1,
33,3,1.0,right,8554,8697,547.4560,556.6080,9.1520,0,1,
34,3,1.0,right,8723,8884,558.2720,568.5760,10.3040,0,1,
35,3,1.0,right,8910,9054,570.2400,579.4560,9.2160,0,1,
36,3,1.0,right,9113,9279,583.2320,593.8560,10.6240,0,1,
37,3,1.0,right,9308,9512,595.7120,608.7680,13.0560,0,1,
38,3,1.0,right,9561,9741,611.9040,623.4240,11.5200,0,1,
39,3,1.0,right,9769,9931,625.2160,635.5840,10.3680,0,1,
40,3,2.0,right,10880,11096,696.3200,710.1440,13.8240,0,1,
41,3,2.0,right,11130,11312,712.3200,723.9680,11.6480,0,1,
42,3,2.0,right,11370,11567,727.6800,740.2880,12.6080,0,1,
43,3,2.0,right,11608,11794,742.9120,754.8160,11.9040,0,1,
44,3,2.0,right,11812,11980,755.9680,766.7200,10.7520,0,1,
45,3,2.0,right,11990,12205,767.3600,781.1200,13.7600,0,1,
46,3,2.0,right,12217,12367,781.8880,791.4880,9.6000,0,1,
47,3,2.0,right,12434,12612,795.7760,807.1680,11.3920,0,1,
48,3,2.0,right,12691,12838,812.2240,821.6320,9.4080,0,1,
49,3,2.0,right,12863,13004,823.2320,832.2560,9.0240,0,1,
50,3,2.0,right,13063,13258,836.0320,848.5120,12.4800,0,1,
51,3,2.0,right,13341,13533,853.8240,866.1120,12.2880,0,1,
52,3,2.0,right,13588,13802,869.6320,883.3280,13.6960,0,1,
53,3,2.0,right,13848,14029,886.2720,897.8560,11.5840,0,1,
54,3,2.0,right,14083,14262,901.3120,912.7680,11.4560,0,1,
55,3,2.0,right,14284,14433,914.1760,923.7120,9.5360,0,1,
56,3,2.0,right,14450,14648,924.8000,937.4720,12.6720,0,1,
57,3,2.0,right,14661,14794,938.3040,946.8160,8.5120,0,1,
58,3,2.0,right,14879,15046,952.2560,962.9440,10.6880,0,1,
59,3,2.0,right,15071,15268,964.5440,977.1520,12.6080,0,1,
60,3,3.0,right,16207,16377,1037.2480,1048.1280,10.8800,0,1,
61,3,3.0,right,16464,16617,1053.6960,1063.4880,9.7920,0,1,
62,3,3.0,right,16644,16792,1065.2160,1074.6880,9.4720,0,1,
63,3,3.0,right,16807,16942,1075.6480,1084.2880,8.6400,0,1,
64,3,3.0,right,16977,17115,1086.5280,1095.3600,8.8320,0,1,
65,3,3.0,right,17167,17339,1098.6880,1109.6960,11.0080,0,1,
66,3,3.0,right,17408,17563,1114.1120,1124.0320,9.9200,0,1,
67,3,3.0,right,17627,17771,1128.1280,1137.3440,9.2160,0,1,
68,3,3.0,right,17819,17972,1140.4160,1150.2080,9.7920,0,1,
69,3,3.0,right,17986,18135,1151.1040,1160.6400,9.5360,0,1,
70,3,3.0,right,18220,18376,1166.0800,1176.0640,9.9840,0,1,
71,3,3.0,right,18432,18575,1179.6480,1188.8000,9.1520,0,1,
72,3,3.0,right,18622,18779,1191.8080,1201.8560,10.0480,0,1,
73,3,3.0,right,18862,19022,1207.1680,1217.4080,10.2400,0,1,
74,3,3.0,right,19110,19259,1223.0400,1232.5760,9.5360,0,1,
75,3,3.0,right,19271,19408,1233.3440,1242.1120,8.7680,0,1,
76,3,3.0,right,19493,19670,1247.5520,1258.8800,11.3280,0,1,
77,3,3.0,right,19769,19935,1265.2160,1275.8400,10.6240,0,1,
78,3,3.0,right,20016,20167,1281.0240,1290.6880,9.6640,0,1,
79,3,3.0,right,20219,20365,1294.0160,1303.3600,9.3440,0,1,
80,3,4.0,right,21304,21481,1363.4560,1374.7840,11.3280,0,1,
81,3,4.0,right,21556,21693,1379.5840,1388.3520,8.7680,0,1,
82,3,4.0,right,21772,21948,1393.4080,1404.6720,11.2640,0,1,
83,3,4.0,right,21997,22150,1407.8080,1417.6000,9.7920,0,1,
84,3,4.0,right,22207,22368,1421.2480,1431.5520,10.3040,0,1,
85,3,4.0,right,22442,22588,1436.2880,1445.6320,9.3440,0,1,
