group,subject_id,n_days,n_pairs,off_diagonal_mean
Cre,Cre-1,6,15,0.4548
Cre,Cre-2,6,15,0.3881
Cre,Cre-3,6,15,0.2924
Cre,Cre-4,6,15,0.3371
Cre,Cre-5,6,15,0.2731
Cre,Cre-6,6,15,0.3359
Cre,Cre-7,5,10,0.2805
Ctrl,Ctrl-1,6,15,0.2081
Ctrl,Ctrl-2,4,6,0.2881
Ctrl,Ctrl-3,6,15,0.2572
Ctrl,Ctrl-4,5,10,0.3187
Ctrl,Ctrl-5,6,15,0.3874
Ctrl,Ctrl-6,6,15,0.2751
Ctrl,Ctrl-7,6,15,0.3113
Ctrl,Ctrl-8,6,15,0.2526
Ctrl,Ctrl-9,6,15,0.3348
SparseKO,SparseKO-1,6,15,0.2426
SparseKO,SparseKO-2,6,15,0.25
SparseKO,SparseKO-3,6,15,0.2386
SparseKO,SparseKO-4,5,10,0.3322
SparseKO,SparseKO-5,6,15,0.2463
SparseKO,SparseKO-6,5,10,0.2722
SparseKO,SparseKO-7,6,15,0.2544
