path,day,vr_trial_info_found,n_trials,n_valid,n_left,n_right,n_mismatch,mismatch_rate,flagged,note,group,subject_id,session
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,True,124,124,22,102,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,True,124,124,16,108,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb,2,True,136,136,20,116,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb,3,True,139,139,20,119,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day4-scan0-novel-arm-1_behavior+ophys.nwb,4,True,140,140,21,119,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day4-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-1\sub-Cre-1_ses-ymaze-day5-scan0-novel-arm-1_behavior+ophys.nwb,5,True,139,139,68,71,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-1,sub-Cre-1_ses-ymaze-day5-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day0-scan0-novel-arm1_behavior+ophys.nwb,0,True,139,139,121,18,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day0-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day1-scan0-novel-arm1_behavior+ophys.nwb,1,True,124,124,109,15,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day1-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day2-scan0-novel-arm1_behavior+ophys.nwb,2,True,109,109,100,9,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day2-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day3-scan0-novel-arm1_behavior+ophys.nwb,3,True,84,84,77,7,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day3-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day4-scan0-novel-arm1_behavior+ophys.nwb,4,True,117,117,102,15,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day4-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-2\sub-Cre-2_ses-ymaze-day5-scan0-novel-arm1_behavior+ophys.nwb,5,True,133,133,71,62,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-2,sub-Cre-2_ses-ymaze-day5-scan0-novel-arm1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-3\sub-Cre-3_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,True,102,102,17,85,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-3,sub-Cre-3_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb
I:\AAA_PYTHON_REPOS_BACKUP\cytodendkeylock\data\dandi\raw\001710\sub-Cre-3\sub-Cre-3_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,True,96,96,15,81,0,,False,vr_trial_info found but contained no parseable arm labels.,Cre,Cre-3,sub-Cre-3_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb
