group,subject_id,session,day,channel,n_rois,n_frames,n_valid_trials,n_left,n_right,arm_balance,split_half_median,n_qc_issues,used_in_cross_day
Cre,Cre-1,sub-Cre-1_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,single,904,29954,124,22,102,4.64,0.949,1,True
Cre,Cre-1,sub-Cre-1_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,single,520,38344,124,16,108,6.75,0.964,1,True
Cre,Cre-1,sub-Cre-1_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb,2,single,797,36648,136,20,116,5.8,0.971,1,True
Cre,Cre-1,sub-Cre-1_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb,3,single,689,37853,139,20,119,5.95,0.975,1,True
Cre,Cre-1,sub-Cre-1_ses-ymaze-day4-scan0-novel-arm-1_behavior+ophys.nwb,4,single,664,34900,140,21,119,5.67,0.976,1,True
Cre,Cre-1,sub-Cre-1_ses-ymaze-day5-scan0-novel-arm-1_behavior+ophys.nwb,5,single,771,37662,139,68,71,1.04,0.974,0,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day0-scan0-novel-arm1_behavior+ophys.nwb,0,single,288,33472,139,121,18,6.72,0.968,1,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day1-scan0-novel-arm1_behavior+ophys.nwb,1,single,441,38188,124,109,15,7.27,0.974,1,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day2-scan0-novel-arm1_behavior+ophys.nwb,2,single,388,38181,109,100,9,11.11,0.979,1,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day3-scan0-novel-arm1_behavior+ophys.nwb,3,single,353,38151,84,77,7,11.0,0.978,1,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day4-scan0-novel-arm1_behavior+ophys.nwb,4,single,250,38420,117,102,15,6.8,0.986,1,True
Cre,Cre-2,sub-Cre-2_ses-ymaze-day5-scan0-novel-arm1_behavior+ophys.nwb,5,single,333,37676,133,71,62,1.15,0.984,0,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,single,936,38810,102,17,85,5.0,0.969,1,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,single,1258,38592,96,15,81,5.4,0.975,1,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb,2,single,1444,38634,77,7,70,10.0,0.976,1,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb,3,single,1233,38676,92,14,78,5.57,0.979,1,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day4-scan0-novel-arm-1_behavior+ophys.nwb,4,single,1087,38301,93,11,82,7.45,0.977,1,True
Cre,Cre-3,sub-Cre-3_ses-ymaze-day5-scan0-novel-arm-1_behavior+ophys.nwb,5,single,1115,38928,78,38,40,1.05,0.975,0,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day0-scan0-novel-arm1_behavior+ophys.nwb,0,single,1148,38708,125,108,17,6.35,0.958,1,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day1-scan0-novel-arm1_behavior+ophys.nwb,1,single,1505,38081,120,102,18,5.67,0.97,1,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day2-scan0-novel-arm1_behavior+ophys.nwb,2,single,1346,38319,122,103,19,5.42,0.975,1,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day3-scan0-novel-arm1_behavior+ophys.nwb,3,single,1389,37216,136,119,17,7.0,0.973,1,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day4-scan0-novel-arm1_behavior+ophys.nwb,4,single,1154,37696,125,107,18,5.94,0.971,1,True
Cre,Cre-4,sub-Cre-4_ses-ymaze-day5-scan0-novel-arm1_behavior+ophys.nwb,5,single,1223,37866,111,56,55,1.02,0.974,0,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,single,1578,39204,55,7,48,6.86,0.973,1,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,single,1554,39641,64,6,58,9.67,0.975,1,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb,2,single,1535,40733,45,7,38,5.43,0.97,1,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb,3,single,1649,39457,59,10,49,4.9,0.979,1,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day4-scan0-novel-arm-1_behavior+ophys.nwb,4,single,1436,42197,38,6,32,5.33,0.973,1,True
Cre,Cre-5,sub-Cre-5_ses-ymaze-day5-scan0-novel-arm-1_behavior+ophys.nwb,5,single,1840,39412,74,38,36,1.06,0.972,0,True
Cre,Cre-6,sub-Cre-6_ses-ymaze-day0-scan0-novel-arm-1_behavior+ophys.nwb,0,single,973,35052,139,19,120,6.32,0.954,1,True
Cre,Cre-6,sub-Cre-6_ses-ymaze-day1-scan0-novel-arm-1_behavior+ophys.nwb,1,single,1051,37965,127,19,108,5.68,0.974,1,True
Cre,Cre-6,sub-Cre-6_ses-ymaze-day2-scan0-novel-arm-1_behavior+ophys.nwb,2,single,1181,36993,131,21,110,5.24,0.969,1,True
Cre,Cre-6,sub-Cre-6_ses-ymaze-day3-scan0-novel-arm-1_behavior+ophys.nwb,3,single,935,37080,136,21,115,5.48,0.977,1,True
