trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,0,1.0,right,164,313,10.6074,20.2446,9.6372,1,1,
1,0,1.0,right,367,511,23.7372,33.0510,9.3138,1,1,
2,0,1.0,right,587,790,37.9666,51.0965,13.1299,1,1,
3,0,1.0,right,855,1018,55.3007,65.8434,10.5427,1,1,
4,0,1.0,right,1065,1255,68.8833,81.1723,12.2890,1,1,
5,0,1.0,right,1321,1530,85.4411,98.9591,13.5179,1,1,
6,0,1.0,right,1595,1765,103.1632,114.1587,10.9955,1,1,
7,0,1.0,right,1786,1959,115.5169,126.7064,11.1895,1,1,
8,0,1.0,right,1993,2161,128.9055,139.7716,10.8661,1,1,
9,0,1.0,right,2245,2421,145.2046,156.5882,11.3835,1,1,
10,0,1.0,right,2440,2595,157.8171,167.8423,10.0253,1,1,
11,0,1.0,right,2627,2791,169.9121,180.5195,10.6074,1,1,
12,0,1.0,right,2828,2993,182.9126,193.5846,10.6721,1,1,
13,0,1.0,right,3005,3156,194.3608,204.1273,9.7665,1,1,
14,0,1.0,right,3171,3340,205.0975,216.0283,10.9308,1,1,
15,0,1.0,right,3423,3581,221.3967,231.6160,10.2193,1,1,
16,0,1.0,right,3597,3775,232.6508,244.1637,11.5129,1,1,
17,0,1.0,right,3796,3936,245.5220,254.5771,9.0551,1,1,
18,0,1.0,right,4022,4193,260.1395,271.1996,11.0601,1,1,
19,0,1.0,right,4239,4456,274.1748,288.2102,14.0354,1,1,
20,0,2.0,right,5396,5575,349.0086,360.5862,11.5776,1,1,
21,0,2.0,right,5597,5757,362.0091,372.3578,10.3487,1,1,
22,0,2.0,right,5782,5932,373.9747,383.6766,9.7019,1,1,
23,0,2.0,right,5961,6148,385.5523,397.6473,12.0950,1,1,
24,0,2.0,right,6215,6404,401.9808,414.2052,12.2244,1,1,
25,0,2.0,right,6486,6691,419.5088,432.7681,13.2592,1,1,
26,0,2.0,right,6723,6902,434.8378,446.4154,11.5776,1,1,
27,0,2.0,right,6927,7081,448.0323,457.9929,9.9606,1,1,
28,0,2.0,right,7141,7295,461.8737,471.8343,9.9606,1,1,
29,0,2.0,right,7376,7533,477.0733,487.2279,10.1546,1,1,
30,0,2.0,right,7574,7718,489.8797,499.1935,9.3138,0,1,
31,0,2.0,right,7805,7949,504.8206,514.1344,9.3138,1,1,
32,0,2.0,right,8008,8160,517.9505,527.7817,9.8312,1,1,
33,0,2.0,right,8188,8330,529.5927,538.7772,9.1844,1,1,
34,0,2.0,right,8380,8521,542.0111,551.1309,9.1198,1,1,
35,0,2.0,right,8573,8722,554.4942,564.1314,9.6372,1,1,
36,0,2.0,right,8778,8926,567.7534,577.3259,9.5725,1,1,
37,0,2.0,right,8934,9086,577.8434,587.6746,9.8312,1,1,
38,0,2.0,right,9148,9316,591.6847,602.5508,10.8661,1,1,
39,0,2.0,right,9387,9543,607.1430,617.2329,10.0899,1,1,
40,0,2.0,right,9582,9745,619.7554,630.2981,10.5427,1,1,
41,0,3.0,right,10682,10912,690.9025,705.7787,14.8762,1,1,
42,0,3.0,right,10968,11112,709.4007,718.7145,9.3138,1,1,
43,0,3.0,right,11193,11377,723.9535,735.8545,11.9010,1,1,
44,0,3.0,right,11431,11594,739.3471,749.8898,10.5427,1,1,
45,0,3.0,right,11647,11808,753.3178,763.7312,10.4133,1,1,
46,0,3.0,right,11894,12075,769.2936,781.0005,11.7069,1,1,
47,0,3.0,right,12157,12322,786.3042,796.9763,10.6721,1,1,
48,0,3.0,right,12366,12540,799.8221,811.0763,11.2542,1,1,
49,0,3.0,right,12569,12703,812.9520,821.6190,8.6670,1,1,
50,0,3.0,right,12722,12886,822.8479,833.4553,10.6074,1,1,
51,0,3.0,right,12931,13081,836.3658,846.0677,9.7019,1,1,
52,0,3.0,right,13093,13269,846.8439,858.2274,11.3835,1,1,
53,0,3.0,right,13319,13486,861.4613,872.2628,10.8014,1,1,
54,0,3.0,right,13559,13735,876.9843,888.3679,11.3835,1,1,
55,0,3.0,right,13794,13960,892.1839,902.9207,10.7367,1,1,
56,0,3.0,right,14062,14256,909.5179,922.0657,12.5478,1,1,
57,0,3.0,right,14344,14504,927.7575,938.1061,10.3487,1,1,
58,0,3.0,right,14557,14726,941.5341,952.4649,10.9308,0,1,
59,0,3.0,right,14776,14925,955.6988,965.3360,9.6372,1,1,
60,0,3.0,right,14981,15149,968.9581,979.8242,10.8661,1,1,
61,0,3.0,right,15209,15385,983.7049,995.0884,11.3835,1,1,
62,0,4.0,right,16326,16522,1055.9515,1068.6286,12.6771,1,1,
63,0,4.0,right,16571,16726,1071.7979,1081.8231,10.0253,1,1,
64,0,4.0,right,16791,16972,1086.0273,1097.7342,11.7069,0,1,
65,0,4.0,right,17044,17209,1102.3911,1113.0632,10.6721,1,1,
66,0,4.0,right,17249,17397,1115.6503,1125.2228,9.5725,1,1,
67,0,4.0,right,17472,17621,1130.0738,1139.7110,9.6372,1,1,
68,0,4.0,right,17652,17816,1141.7160,1152.3234,10.6074,1,1,
69,0,4.0,right,17826,17994,1152.9702,1163.8363,10.8661,1,1,
70,0,4.0,right,18092,18263,1170.1748,1181.2350,11.0601,1,1,
71,0,4.0,right,18324,18469,1185.1804,1194.5589,9.3785,1,1,
72,0,4.0,right,18490,18672,1195.9171,1207.6887,11.7716,1,1,
73,0,4.0,right,18714,18903,1210.4053,1222.6296,12.2244,1,1,
74,0,4.0,right,18989,19147,1228.1920,1238.4113,10.2193,0,1,
75,0,4.0,right,19184,19321,1240.8044,1249.6655,8.8610,1,1,
76,0,4.0,right,19365,19495,1252.5114,1260.9197,8.4083,0,1,
77,0,4.0,right,19548,19677,1264.3477,1272.6913,8.3436,1,1,
78,0,4.0,right,19712,19855,1274.9550,1284.2041,9.2491,1,1,
79,0,4.0,right,19876,20023,1285.5624,1295.0702,9.5078,1,1,
80,0,4.0,right,20108,20248,1300.5680,1309.6230,9.0551,1,1,
81,0,4.0,right,20289,20435,1312.2749,1321.7180,9.4432,0,1,
82,0,4.0,right,20515,20668,1326.8924,1336.7883,9.8959,1,1,
83,0,5.0,right,21606,21790,1397.4573,1409.3583,11.9010,1,1,
84,0,5.0,left,21828,21980,1411.8161,1421.6473,9.8312,1,1,
85,0,5.0,left,22023,22161,1424.4285,1433.3542,8.9257,1,1,
86,0,5.0,left,22215,22365,1436.8469,1446.5488,9.7019,1,1,
87,0,5.0,right,22415,22557,1449.7827,1458.9672,9.1844,1,1,
88,0,5.0,right,22598,22747,1461.6190,1471.2562,9.6372,0,1,
89,0,5.0,left,22771,22921,1472.8085,1482.5104,9.7019,1,1,
90,0,5.0,left,22992,23178,1487.1026,1499.1329,12.0303,1,1,
91,0,5.0,left,23187,23330,1499.7150,1508.9641,9.2491,1,1,
92,0,5.0,left,23371,23520,1511.6160,1521.2532,9.6372,1,1,
93,0,5.0,right,23546,23694,1522.9348,1532.5073,9.5725,0,1,
94,0,5.0,left,23743,23880,1535.6766,1544.5376,8.8610,1,1,
95,0,5.0,right,23904,24071,1546.0899,1556.8914,10.8014,1,1,
