parameter,signature,first_fail_value
structural_lr,SIG_A,0.0
structural_lr,SIG_B,0.0
structural_lr,SIG_C,robust
structural_lr,SIG_D,robust
structural_lr,SIG_E,0.0
replay_gain,SIG_A,0.0
replay_gain,SIG_B,0.0
replay_gain,SIG_C,robust
replay_gain,SIG_D,robust
replay_gain,SIG_E,0.0
eligibility_decay,SIG_A,robust
eligibility_decay,SIG_B,robust
eligibility_decay,SIG_C,robust
eligibility_decay,SIG_D,robust
eligibility_decay,SIG_E,robust
structural_decay,SIG_A,robust
structural_decay,SIG_B,0.08
structural_decay,SIG_C,robust
structural_decay,SIG_D,robust
structural_decay,SIG_E,robust
structural_noise,SIG_A,robust
structural_noise,SIG_B,robust
structural_noise,SIG_C,robust
structural_noise,SIG_D,robust
structural_noise,SIG_E,robust
context_gain,SIG_A,robust
context_gain,SIG_B,robust
context_gain,SIG_C,robust
context_gain,SIG_D,robust
context_gain,SIG_E,robust
timing_gap,SIG_A,24
timing_gap,SIG_B,16
timing_gap,SIG_C,robust
timing_gap,SIG_D,robust
timing_gap,SIG_E,robust
overlap_strength,SIG_A,0.0
overlap_strength,SIG_B,0.0
overlap_strength,SIG_C,robust
overlap_strength,SIG_D,0.0
overlap_strength,SIG_E,0.0
readout_threshold,SIG_A,robust
readout_threshold,SIG_B,robust
readout_threshold,SIG_C,robust
readout_threshold,SIG_D,robust
readout_threshold,SIG_E,robust
