pair,signature,n_fail,n_total,pct_fail
structural_lr__x__replay_gain,SIG_A,20,99,20.2020202020202
structural_lr__x__replay_gain,SIG_B,29,99,29.292929292929294
structural_lr__x__replay_gain,SIG_C,0,99,0.0
structural_lr__x__replay_gain,SIG_D,0,99,0.0
structural_lr__x__replay_gain,SIG_E,19,99,19.19191919191919
eligibility_decay__x__timing_gap,SIG_A,22,72,30.555555555555557
eligibility_decay__x__timing_gap,SIG_B,27,72,37.5
eligibility_decay__x__timing_gap,SIG_C,0,72,0.0
eligibility_decay__x__timing_gap,SIG_D,0,72,0.0
eligibility_decay__x__timing_gap,SIG_E,0,72,0.0
overlap_strength__x__replay_gain,SIG_A,26,72,36.111111111111114
overlap_strength__x__replay_gain,SIG_B,35,72,48.611111111111114
overlap_strength__x__replay_gain,SIG_C,0,72,0.0
overlap_strength__x__replay_gain,SIG_D,9,72,12.5
overlap_strength__x__replay_gain,SIG_E,18,72,25.0
structural_decay__x__structural_lr,SIG_A,7,77,9.090909090909092
structural_decay__x__structural_lr,SIG_B,25,77,32.467532467532465
structural_decay__x__structural_lr,SIG_C,0,77,0.0
structural_decay__x__structural_lr,SIG_D,0,77,0.0
structural_decay__x__structural_lr,SIG_E,7,77,9.090909090909092
structural_noise__x__replay_gain,SIG_A,2,63,3.1746031746031744
structural_noise__x__replay_gain,SIG_B,7,63,11.11111111111111
structural_noise__x__replay_gain,SIG_C,0,63,0.0
structural_noise__x__replay_gain,SIG_D,0,63,0.0
structural_noise__x__replay_gain,SIG_E,7,63,11.11111111111111
context_gain__x__structural_lr,SIG_A,7,77,9.090909090909092
context_gain__x__structural_lr,SIG_B,14,77,18.181818181818183
context_gain__x__structural_lr,SIG_C,0,77,0.0
context_gain__x__structural_lr,SIG_D,0,77,0.0
context_gain__x__structural_lr,SIG_E,7,77,9.090909090909092
