run_id,motif_type,n_branches,n_traces,false_linking_rate,specificity_index,delta_L_expected_pairs,delta_L_unlinked_pairs
canonical_n4,canonical,4,2,nan,nan,0.2392484762482996,0.0
canonical_n8,canonical,8,2,nan,nan,0.2391059758040459,0.0
canonical_n16,canonical,16,2,nan,nan,0.23882097491553855,0.0
canonical_n32,canonical,32,2,nan,nan,0.23825097313852378,0.0
weak_overlap_n4,weak_overlap,4,2,nan,nan,0.0,0.040654003351518475
weak_overlap_n8,weak_overlap,8,2,nan,nan,0.0,0.040511502907264796
weak_overlap_n16,weak_overlap,16,2,nan,nan,0.0,0.04022650201875744
weak_overlap_n32,weak_overlap,32,2,nan,nan,0.0,0.03965650024174275
strong_overlap_n4,strong_overlap,4,2,nan,nan,0.2955284670131792,0.0
strong_overlap_n8,strong_overlap,8,2,nan,nan,0.2953859665689256,0.0
strong_overlap_n16,strong_overlap,16,2,nan,nan,0.2951009656804182,0.0
strong_overlap_n32,strong_overlap,32,2,nan,nan,0.2945309639034034,0.0
chain_overlap_n8,chain_overlap,8,3,0.1927901971831558,0.18371857448821993,0.22759705574327083,0.04387848125505088
chain_overlap_n16,chain_overlap,16,3,0.19196396212100658,0.18371857448822,0.2273643326236553,0.04364575813543531
chain_overlap_n32,chain_overlap,32,3,0.19030640733531762,0.18371857448822,0.22689888638442418,0.04318031189620418
hub_overlap_n8,hub_overlap,8,4,nan,nan,0.234108909400394,0.0
hub_overlap_n16,hub_overlap,16,4,nan,nan,0.23391650443232673,0.0
hub_overlap_n32,hub_overlap,32,4,nan,nan,0.23353169449619227,0.0
sparse_random_n8_s42,sparse_random,8,4,nan,nan,0.20590940405901162,0.0
sparse_random_n8_s123,sparse_random,8,4,0.1602141478813208,0.19871675486579835,0.23662789074674187,0.037911135880943525
sparse_random_n16_s42,sparse_random,16,4,nan,nan,0.2669975592933513,0.0
sparse_random_n16_s123,sparse_random,16,4,0.3026863681481482,0.20035068710613554,0.2873178982233079,0.08696721111717234
sparse_random_n32_s42,sparse_random,32,4,nan,nan,0.594586895341413,0.0
sparse_random_n32_s123,sparse_random,32,4,nan,nan,0.6367646664410918,0.0
