run_id,motif_type,n_branches,n_traces,seed,mechanistic_pass,specificity_pass,specificity_warning,universal_linking_flag,false_linking_rate,false_linking_band,specificity_index,gSIG_A,gSIG_B,gSIG_D,gSIG_E,article_interpretation_class,claim_status
canonical_n4,canonical,4,2,42,True,True,False,False,nan,undefined,nan,0.12898414268494385,0.2392484762482996,0.14142208730291717,1.5744404926527844,canonical_reference,Reference behavior confirmed at n=4-32.
canonical_n8,canonical,8,2,42,True,True,False,False,nan,undefined,nan,0.23405450960879387,0.2391059758040459,0.1416363536564491,1.574506035515117,canonical_reference,Reference behavior confirmed at n=4-32.
canonical_n16,canonical,16,2,42,True,True,False,False,nan,undefined,nan,0.27608265637833385,0.23882097491553855,0.142064886363513,1.5746365281179857,canonical_reference,Reference behavior confirmed at n=4-32.
canonical_n32,canonical,32,2,42,True,True,False,False,nan,undefined,nan,0.2950631097581261,0.23825097313852378,0.14292195177764067,1.5748951657341048,canonical_reference,Reference behavior confirmed at n=4-32.
weak_overlap_n4,weak_overlap,4,2,42,False,False,False,False,nan,undefined,nan,-0.1748541518104868,-0.040654003351518475,-0.01797837307890754,nan,weak_overlap_failure,Expected failure: overlap weight (0.30) below E020 threshold. Mechanism does not activate. Not a model failure.
weak_overlap_n8,weak_overlap,8,2,42,False,False,False,False,nan,undefined,nan,-0.08030205369255952,-0.040511502907264796,-0.018192639432439484,nan,weak_overlap_failure,Expected failure: overlap weight (0.30) below E020 threshold. Mechanism does not activate. Not a model failure.
weak_overlap_n16,weak_overlap,16,2,42,False,False,False,False,nan,undefined,nan,-0.03302600463359588,-0.04022650201875744,-0.018621172139503372,nan,weak_overlap_failure,Expected failure: overlap weight (0.30) below E020 threshold. Mechanism does not activate. Not a model failure.
weak_overlap_n32,weak_overlap,32,2,42,False,False,False,False,nan,undefined,nan,-0.00938798010411406,-0.03965650024174275,-0.019478237553631123,nan,weak_overlap_failure,Expected failure: overlap weight (0.30) below E020 threshold. Mechanism does not activate. Not a model failure.
strong_overlap_n4,strong_overlap,4,2,42,True,True,False,False,nan,undefined,nan,0.13178822855435446,0.2955284670131792,0.1764954858286325,1.5660339164325214,specific_linking_success,Full mechanistic and specificity success across all branch counts.
strong_overlap_n8,strong_overlap,8,2,42,True,True,False,False,nan,undefined,nan,0.23685859547820448,0.2953859665689256,0.17670975218216445,1.5660966435787285,specific_linking_success,Full mechanistic and specificity success across all branch counts.
strong_overlap_n16,strong_overlap,16,2,42,True,True,False,False,nan,undefined,nan,0.27888674224774446,0.2951009656804182,0.17713828488922834,1.5662216426228537,specific_linking_success,Full mechanistic and specificity success across all branch counts.
strong_overlap_n32,strong_overlap,32,2,42,True,True,False,False,nan,undefined,nan,0.2978671956275367,0.2945309639034034,0.177995350303356,1.5664698350624051,specific_linking_success,Full mechanistic and specificity success across all branch counts.
chain_overlap_n8,chain_overlap,8,3,42,True,True,False,False,0.1927901971831558,good,0.18371857448821993,0.1630426254880964,0.18371857448821993,0.07316507570996572,1.4128821549681665,chain_local_linking_with_leakage,Mechanistic success. Partial specificity: local pairs gain ~5x more than distant pairs (FL≈0.19). Chain leakage is a valid boundary condition.
chain_overlap_n16,chain_overlap,16,3,42,True,True,False,False,0.19196396212100658,good,0.18371857448822,0.2309931169381314,0.18371857448822,0.07316507570996575,1.4157837138948832,chain_local_linking_with_leakage,Mechanistic success. Partial specificity: local pairs gain ~5x more than distant pairs (FL≈0.19). Chain leakage is a valid boundary condition.
chain_overlap_n32,chain_overlap,32,3,42,True,True,False,False,0.19030640733531762,good,0.18371857448822,0.2581733135181454,0.18371857448822,0.07316507570996572,1.4213674368888716,chain_local_linking_with_leakage,Mechanistic success. Partial specificity: local pairs gain ~5x more than distant pairs (FL≈0.19). Chain leakage is a valid boundary condition.
hub_overlap_n8,hub_overlap,8,4,42,True,False,True,True,nan,undefined,nan,0.1918289703444752,0.234108909400394,0.14141593095040875,1.5826749497331702,hub_overlinking_boundary,"Mechanistic pass. Specificity boundary: all trace pairs universally linked through the hub branch. Hub topology should be reported as an over-linking condition, not a clean generalization success."
hub_overlap_n16,hub_overlap,16,4,42,True,False,True,True,nan,undefined,nan,0.2539081801765827,0.23391650443232673,0.1418485481025656,1.5825553601451277,hub_overlinking_boundary,"Mechanistic pass. Specificity boundary: all trace pairs universally linked through the hub branch. Hub topology should be reported as an over-linking condition, not a clean generalization success."
hub_overlap_n32,hub_overlap,32,4,42,True,False,True,True,nan,undefined,nan,0.28194395235882475,0.23353169449619227,0.1427137824068793,1.5823183561586371,hub_overlinking_boundary,"Mechanistic pass. Specificity boundary: all trace pairs universally linked through the hub branch. Hub topology should be reported as an over-linking condition, not a clean generalization success."
sparse_random_n8_s42,sparse_random,8,4,42,True,False,True,True,nan,undefined,nan,0.19530981106383993,0.20590940405901162,0.1250653854115439,1.5892148935857673,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
sparse_random_n8_s123,sparse_random,8,4,123,True,True,False,False,0.1602141478813208,good,0.19871675486579835,0.24617427948165402,0.19871675486579835,0.04460708775730175,1.1905385343072037,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
sparse_random_n16_s42,sparse_random,16,4,42,True,False,True,True,nan,undefined,nan,0.10860689257297498,0.2669975592933513,0.05394564776372849,1.2445430395846746,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
sparse_random_n16_s123,sparse_random,16,4,123,True,True,True,False,0.3026863681481482,moderate,0.20035068710613554,0.1212467605935735,0.20035068710613554,0.04180179388875231,1.2475037546044618,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
sparse_random_n32_s42,sparse_random,32,4,42,True,False,True,True,nan,undefined,nan,0.13498381278834398,0.594586895341413,0.1301994918435556,1.2449935589416954,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
sparse_random_n32_s123,sparse_random,32,4,123,True,False,True,True,nan,undefined,nan,0.15265679576767255,0.6367646664410918,0.1361953231396795,1.2183099568618316,sparse_specific_success,Mechanistic and specificity success. FL=0.16-0.30 (moderate) across seeds and branch counts.
