comparator,motif_type,n_branches,gSIG_A,gSIG_A_pass,gSIG_B,gSIG_B_pass,interpretation_class
full_model,canonical,4,0.12898414268494385,True,nan,False,full_structural_match
full_model,strong_overlap,4,0.13178822855435446,True,nan,False,full_structural_match
full_model,chain_overlap,8,0.1630426254880964,True,0.18371857448821993,True,full_structural_match
full_model,sparse_random,8,0.19530981106383993,True,nan,False,full_structural_match
hebbian_weight_only,canonical,4,0.0,False,nan,False,partial_behavioral_match
hebbian_weight_only,strong_overlap,4,0.0,False,nan,False,partial_behavioral_match
hebbian_weight_only,chain_overlap,8,0.0,False,-0.014997543358429719,False,partial_behavioral_match
hebbian_weight_only,sparse_random,8,0.0,False,nan,False,partial_behavioral_match
soma_global_gain_only,canonical,4,0.0,False,nan,False,partial_behavioral_match
soma_global_gain_only,strong_overlap,4,0.0,False,nan,False,partial_behavioral_match
soma_global_gain_only,chain_overlap,8,0.0,False,0.14011447852503217,True,partial_behavioral_match
soma_global_gain_only,sparse_random,8,0.0,False,nan,False,partial_behavioral_match
shuffled_replay,canonical,4,0.09103116784897647,True,nan,False,full_structural_match
shuffled_replay,strong_overlap,4,0.09103116784897647,True,nan,False,full_structural_match
shuffled_replay,chain_overlap,8,0.006944340759091186,True,0.06054932757564237,True,full_structural_match
shuffled_replay,sparse_random,8,-0.02653013168686348,False,nan,False,partial_behavioral_match
eligibility_only,canonical,4,0.0,False,nan,False,transient_only
eligibility_only,strong_overlap,4,0.0,False,nan,False,transient_only
eligibility_only,chain_overlap,8,0.0,False,-0.014997543358429719,False,transient_only
eligibility_only,sparse_random,8,0.0,False,nan,False,transient_only
resource_only,canonical,4,0.0,False,nan,False,transient_only
resource_only,strong_overlap,4,0.0,False,nan,False,transient_only
resource_only,chain_overlap,8,0.0,False,-0.014997543358429719,False,transient_only
resource_only,sparse_random,8,0.0,False,nan,False,transient_only
