comparator,motif_type,B6_specificity_index,B7_false_linking_rate,NR_targeted,NR_generic,interpretation_class
full_model,canonical,nan,nan,1.0220307647023932,-0.5524097279503911,full_structural_match
full_model,strong_overlap,nan,nan,1.0106535175537643,-0.555380398878757,full_structural_match
full_model,chain_overlap,0.18371857448821993,0.1927901971831558,0.9810692201984776,-0.43181293476968885,full_structural_match
full_model,sparse_random,nan,nan,1.0399600962589444,-0.5492547973268228,full_structural_match
hebbian_weight_only,canonical,nan,nan,0.0,0.0,partial_behavioral_match
hebbian_weight_only,strong_overlap,nan,nan,0.0,0.0,partial_behavioral_match
hebbian_weight_only,chain_overlap,3.203764337714463,0.20082731156268702,0.0,0.0,partial_behavioral_match
hebbian_weight_only,sparse_random,nan,nan,0.0,0.0,partial_behavioral_match
soma_global_gain_only,canonical,nan,nan,1.2952892835772998,-0.5802199779640612,partial_behavioral_match
soma_global_gain_only,strong_overlap,nan,nan,1.2977049651899828,-0.5815033878956,partial_behavioral_match
soma_global_gain_only,chain_overlap,0.14011447852503217,0.21387283236994228,1.3055428087711758,-0.4905097684602688,partial_behavioral_match
soma_global_gain_only,sparse_random,nan,nan,1.5363283508545489,-0.5984548430035531,partial_behavioral_match
shuffled_replay,canonical,nan,nan,1.294344913974556,-0.524115757196721,full_structural_match
shuffled_replay,strong_overlap,nan,nan,1.2939247087142132,-0.524930989598313,full_structural_match
shuffled_replay,chain_overlap,0.06054932757564237,0.1926041746084227,2.3715574670489428,-0.016652107985460046,full_structural_match
shuffled_replay,sparse_random,nan,nan,2.663819113048824,-0.45993301787546215,partial_behavioral_match
eligibility_only,canonical,nan,nan,0.0,0.0,transient_only
eligibility_only,strong_overlap,nan,nan,0.0,0.0,transient_only
eligibility_only,chain_overlap,0.28214816506252033,0.18743088583251546,0.0,0.0,transient_only
eligibility_only,sparse_random,nan,nan,0.0,0.0,transient_only
resource_only,canonical,nan,nan,0.0,0.0,transient_only
resource_only,strong_overlap,nan,nan,0.0,0.0,transient_only
resource_only,chain_overlap,0.3399999999999999,0.20415432107600381,0.0,0.0,transient_only
resource_only,sparse_random,nan,nan,0.0,0.0,transient_only
